sbox,DU,avg_num_fault,min_num_fault
401F2B6739A5CDE8,4,2.0,2
801C256943AB7DEF,4,2.0,2
801CF56743AB9DE2,4,2.0,2
20183D6749A5CBEF,4,2.0,2
20183F67495BCDEA,4,2.0,2
20183B6749AFCDE5,4,2.0,2
48123B6709AECD5F,4,2.0,2
801925D746ABC3EF,4,2.0,2
8E1235674CAB9D0F,4,2.0,2
8E12356749FBCD0A,4,2.0,2
8F1235C749AB6DE0,4,2.0,2
8F12356D49ABC7E0,4,2.0,2
C019354762AB8DEF,4,2.0,2
CB12354769A08DEF,4,2.0,2
C912354760AB8DEF,4,2.0,2
8E12354769A0CDBF,4,2.0,2
8A123B674905CDEF,6,2.0,2
40182C3769AB5DEF,6,2.0,2
4018253B69A7CDEF,6,2.0,2
4018253E69ABCD7F,6,2.0,2
6812354B09A7CDEF,6,2.0,2
4018293765ABCDEF,6,2.0,2
8F123567490BCDEA,6,2.0,2
401825F769ABCDE3,6,2.0,2
D01235E769ABC84F,6,2.0,2
CA123547690B8DEF,6,2.0,2
C01235F769AB8DE4,6,2.0,2
8A123047695BCDEF,6,2.0,2
8D12304769ABC5EF,6,2.0,2
681E354709ABCD2F,6,2.0,2
401825A7693BCDEF,8,2.0,2
C0A23547691B8DEF,8,2.0,2
D0A23547691BC8EF,8,2.0,2
8F123C6749AB5DE0,4,2.0,2
801C25B749A63DEF,4,2.0,2
801C25D749AB36EF,4,2.0,2
C0123F6749AB8DE5,4,2.0,2
C012356D49AB87EF,4,2.0,2
8A123569470BCDEF,6,2.0,2
801C2E6749AB3D5F,6,2.0,2
40182D3769ABC5EF,6,2.0,2
40182A37695BCDEF,6,2.0,2
6812354C09AB7DEF,6,2.0,2
6812354D09ABC7EF,6,2.0,2
6812354907ABCDEF,6,2.0,2
DA123567490BC8EF,6,2.0,2
E01A3567492BCD8F,6,2.0,2
8A123597460BCDEF,6,2.0,2
801D2567493BCAEF,6,2.0,2
801625D749ABC3EF,6,2.0,2
8C12354769AB0DEF,6,2.0,2
68D2354709ABC1EF,6,2.0,2
68E2354709ABCD1F,6,2.0,2
401F253769ABCDE8,6,2.0,2
401A2867395BCDEF,6,2.0,2
401A2568397BCDEF,6,2.0,2
608F354719ABCDE2,6,2.0,2
608C354719AB2DEF,6,2.0,2
681C354709AB2DEF,6,2.0,2
681D354709ABC2EF,6,2.0,2
801C256743AB9DEF,6,2.0,2
801A2563497BCDEF,6,2.0,2
801D253749ABC6EF,6,2.0,2
801A256749DBC3EF,6,2.0,2
801E354769ABCD2F,6,2.0,2
6018D54729ABC3EF,6,2.0,2
6812F54709ABCDE3,6,2.0,2
68123A47095BCDEF,6,2.0,2
80132A6749FBCDE5,6,2.0,2
401825B769A3CDEF,6,2.0,2
801625C749AB3DEF,6,2.0,2
8017256C49AB3DEF,6,2.0,2
4018259763ABCDEF,6,2.0,2
6812394705ABCDEF,6,2.0,2
6819354702ABCDEF,6,2.0,2
8019253746ABCDEF,6,2.0,2
801C253749AB6DEF,6,2.0,2
80132F67495BCDEA,6,2.0,2
6D12354709ABC8EF,6,2.0,2
8B12354769A0CDEF,6,2.0,2
8D12354769ABC0EF,6,2.0,2
68F2354709ABCDE1,6,2.0,2
68C2354709AB1DEF,6,2.0,2
8512304769ABCDEF,6,2.0,2
8A123547690BCDEF,8,2.0,2
681235A7094BCDEF,8,2.0,2
8A1C3567490B2DEF,6,2.0,2
801C256349AB7DEF,6,2.0,2
20183B6749A5CDEF,6,2.0,2
48123B6709A5CDEF,6,2.0,2
4812356907ABCDEF,6,2.0,2
8612950743ABCDEF,6,2.0,2
68123B4709A5CDEF,6,2.0,2
68123E4709ABCD5F,6,2.0,2
68123F4709ABCDE5,6,2.0,2
F0132C6749AB5DE8,6,2.0,2
8D12350749ABC6EF,6,2.0,2
401E2567398BCDAF,6,2.0,2
801F253749ABCDE6,6,2.0,2
2013FA67495BCDE8,6,2.0,2
20183A67495BCDEF,6,2.0,2
20183D6749ABC5EF,6,2.0,2
40182B6739A5CDEF,6,2.0,2
40182C6739AB5DEF,6,2.0,2
201835674CAB9DEF,6,2.0,2
8F12354769ABCDE0,6,2.0,2
801D354769ABC2EF,6,2.0,2
6812C54709AB3DEF,6,2.0,2
48123E6709ABCD5F,6,2.0,2
80123B6749A5CDEF,6,2.0,2
681235E709ABCD4F,6,2.0,2
4812356D09ABC7EF,6,2.0,2
481235670FABCDE9,6,2.0,2
4812356709AECDBF,6,2.0,2
8012356947ABCDEF,6,2.0,2
F01A2567493BCDE8,6,2.0,2
20183F6749ABCDE5,6,2.0,2
401825F739ABCDE6,6,2.0,2
681B354709A2CDEF,6,2.0,2
48123A67095BCDEF,6,2.0,2
80123F6749ABCDE5,6,2.0,2
481235B709A6CDEF,6,2.0,2
481235D709ABC6EF,6,2.0,2
4812356A097BCDEF,6,2.0,2
8012356D49ABC7EF,6,2.0,2
801235674CAB9DEF,6,2.0,2
4812356709FBCDEA,6,2.0,2
4812359706ABCDEF,6,2.0,2
8012356749AECDBF,6,2.0,2
401A2537698BCDEF,8,2.0,2
481235A7096BCDEF,8,2.0,2
80B2354769A1CDEF,8,2.0,2
801235B769A4CDEF,8,2.0,2
80C2354769AB1DEF,8,2.0,2
80D2354769ABC1EF,8,2.0,2
8012E54769ABCD3F,8,2.0,2
8012F54769ABCDE3,8,2.0,2
608235B719A4CDEF,8,2.0,2
801235C749AB6DEF,8,2.0,2
4018296735ABCDEF,8,2.0,2
8012356749FBCDEA,8,2.0,2
C012354769AB8DEF,8,2.0,2
D012354769ABC8EF,8,2.0,2
8E12354769ABCD0F,8,2.0,2
801F2567493BCDEA,8,2.0,2
801B354769A2CDEF,8,2.0,2
801C354769AB2DEF,8,2.0,2
6812B54709A3CDEF,8,2.0,2
6812D54709ABC3EF,8,2.0,2
801235F769ABCDE4,8,2.0,2
801625F749ABCDE3,8,2.0,2
4082356B19A7CDEF,8,2.0,2
4812356709ABEDCF,8,2.0,2
4812356709ABCFED,8,2.0,2
80F2354769ABCDE1,8,2.0,2
801925674FABCDE3,6,2.0,2
4018256739DBCAEF,6,2.0,2
B012356749ADC8EF,6,2.0,2
20183C6749AB5DEF,6,2.0,2
40182A67395BCDEF,6,2.0,2
201835674DABC9EF,6,2.0,2
4018259736ABCDEF,6,2.0,2
40823B6719A5CDEF,6,2.0,2
80123E6749ABCD5F,6,2.0,2
2013846E59ABCD7F,6,2.0,2
8012356C49AB7DEF,6,2.0,2
401825673CAB9DEF,6,2.0,2
801235674DABC9EF,6,2.0,2
4018256739AECDBF,6,2.0,2
8012356749AFCDEB,6,2.0,2
401F256739ABCDE8,6,2.0,2
8E12356749ABCD0F,6,2.0,2
8F12356749ABCDE0,6,2.0,2
401D256739ABC8EF,6,2.0,2
801D356749ABC2EF,6,2.0,2
80123C6749AB5DEF,6,2.0,2
8012356E49ABCD7F,6,2.0,2
48E2356709ABCD1F,6,2.0,2
80123A67495BCDEF,8,2.0,2
408235B719A6CDEF,8,2.0,2
8012359746ABCDEF,8,2.0,2
801235B749A6CDEF,8,2.0,2
861D350749ABC2EF,8,2.0,2
201384D759ABC6EF,8,2.0,2
401825A7396BCDEF,8,2.0,2
801235D749ABC6EF,8,2.0,2
4018256739ABEDCF,8,2.0,2
8012356749EBCDAF,8,2.0,2
8A123567490BCDEF,8,2.0,2
401A2567398BCDEF,8,2.0,2
4018253769ABCDEF,8,2.0,2
6018354729ABCDEF,8,2.0,2
6812354709ABCDEF,8,2.0,2
2013FB6749A5CDE8,6,2.0,2
104825F739ABCDE6,6,2.0,2
401825673EABCD9F,6,2.0,2
80132A67495BCDEF,6,2.0,2
801C256749AB3DEF,6,2.0,2
801D256749ABC3EF,6,2.0,2
10482A67395BCDEF,8,2.0,2
30128C6749AB5DEF,8,2.0,2
201384E759ABCD6F,8,2.0,2
201384F759ABCDE6,8,2.0,2
4018256739ABCFED,8,2.0,2
D012356749ABC8EF,8,2.0,2
E012356749ABCD8F,8,2.0,2
8D12356749ABC0EF,8,2.0,2
80C2356749AB1DEF,8,2.0,2
401C256739AB8DEF,8,2.0,2
401E256739ABCD8F,8,2.0,2
80132F6749ABCDE5,8,2.0,2
8612350749ABCDEF,8,2.0,2
801A2567493BCDEF,8,2.0,2
8016253749ABCDEF,8,2.0,2
8012C54769AB3DEF,8,2.0,2
8012D54769ABC3EF,8,2.0,2
20138E6749ABCD5F,8,2.0,2
C012356749AB8DEF,8,2.0,2
80D2356749ABC1EF,8,2.0,2
2014386759ABCDEF,8,2.0,2
4012356879ABCDEF,8,2.0,2
4012386759ABCDEF,8,2.0,2
F013256749ABCDE8,6,2.0,2
2013F56749ABCDE8,6,2.0,2
20138C6749AB5DEF,8,2.0,2
7012356849ABCDEF,8,2.0,2
801F256749ABCDE3,8,2.0,2
2018356749ABCDEF,8,2.0,2
4812356709ABCDEF,8,2.0,2
4018256739ABCDEF,8,2.0,2
8013256749ABCDEF,8,2.0,2
408235A7196BCDEF,10,2.0,2
4082356719ABEDCF,10,2.0,2
608235A7194BCDEF,10,2.0,2
6082354719ABCDEF,10,2.0,2
8012354769ABCDEF,10,2.0,2
201384C759AB6DEF,10,2.0,2
301285C749AB6DEF,10,2.0,2
3012C56749AB8DEF,10,2.0,2
4012358769ABCDEF,10,2.0,2
4082356719ABCDEF,10,2.0,2
8012356749ABCDEF,10,2.0,2
80A23547691BCDEF,12,2.0,2
8062351749ABCDEF,12,2.0,2
40132567E8A9CDBF,6,2.0,2
40132567D98BCAEF,6,2.0,2
40132567AC8B9DEF,8,2.0,2
30128B6749A5CDEF,8,2.0,2
104825A7396BCDEF,8,2.0,2
40123567E98BCDAF,8,2.0,2
40123567F98BCDEA,8,2.0,2
40132567AF9BCDE8,8,2.0,2
40123567C98BADEF,8,2.0,2
40123567D98BCAEF,8,2.0,2
40132567AD9BC8EF,8,2.0,2
60123547C9AB8DEF,8,2.0,2
60123547D9ABC8EF,8,2.0,2
6512304789ABCDEF,8,2.0,2
20138A67495BCDEF,6,2.0,2
20143567C9AB8DEF,8,2.0,2
40123567D9ABC8EF,8,2.0,2
40123567E9ABCD8F,8,2.0,2
40132567E8ABCD9F,8,2.0,2
40132567B8A9CDEF,8,2.0,2
40132567F9ABCDE8,8,2.0,2
20135467E9ABCD8F,8,2.0,2
40123567C9AB8DEF,8,2.0,2
40123567F9ABCDE8,8,2.0,2
10462537A98BCDEF,10,2.0,2
40132567D89BCAEF,10,2.0,2
30128A67495BCDEF,10,2.0,2
40132567A98BCDEF,10,2.0,2
2013846759ABCDEF,10,2.0,2
1048256739ABCDEF,10,2.0,2
2013856749ABCDEF,10,2.0,2
4612350789ABCDEF,10,2.0,2
4016253789ABCDEF,10,2.0,2
4013256798ABCDEF,10,2.0,2
1046253789ABCDEF,10,2.0,2
2014356789ABCDEF,10,2.0,2
4013256789ABCDEF,10,2.0,2
40123567A98BCDEF,12,2.0,2
40132567A89BCDEF,12,2.0,2
6012354789ABCDEF,12,2.0,2
3012856749ABCDEF,12,2.0,2
4012356789ABCDEF,12,2.0,2
10432567F9ABCDE8,8,2.0,2
20135467A98BCDEF,8,2.0,2
2013746589ABCDEF,10,2.0,2
1043256789ABCDEF,12,2.0,2
2013546789ABCDEF,12,2.0,2
2013456789ABCDEF,12,2.0,2
80A23517496BCDEF,16,-1,-1
40132567C89BADEF,16,-1,-1
40623517A98BCDEF,16,-1,-1
4062351789ABCDEF,16,-1,-1
2013645789ABCDEF,16,-1,-1
3012654789ABCDEF,16,-1,-1
3012456789ABCDEF,16,-1,-1
1023456789ABCDEF,16,-1,-1
1032456789ABCDEF,16,-1,-1
0123456789ABCDEF,16,-1,-1
